Hotel;Is Canceled;Lead Time;arrival full date;Arrival Date Year;Arrival Date Month;Arrival Date Week Number;Arrival Date Day of Month;Stays in Weekend nights;Stays in week nights;stays total nights;Adults;Children;Babies;Meal;Country;Reserved Room Type;Assigned room type;customer type;Reservation Status;Reservation status_date
Resort Hotel;0;102;2015-07-04;2015;July;27;4;2;5;7;2;0.0;0;BB;PRT;E;E;Transient;Check-Out;2015-07-11
Resort Hotel;1;26;2015-07-04;2015;July;27;4;2;5;7;2;2.0;0;BB;PRT;H;H;Transient;Canceled;2015-06-09
Resort Hotel;1;73;2015-07-04;2015;July;27;4;2;5;7;3;0.0;0;HB;PRT;D;D;Transient;Canceled;2015-05-20
Resort Hotel;1;102;2015-07-04;2015;July;27;4;2;5;7;2;0.0;0;BB;PRT;A;A;Transient;Canceled;2015-04-22
Resort Hotel;0;115;2015-07-04;2015;July;27;4;2;5;7;2;0.0;0;BB;PRT;A;A;Transient;Check-Out;2015-07-11
Resort Hotel;0;102;2015-07-04;2015;July;27;4;2;5;7;2;0.0;1;BB;PRT;A;A;Transient;Check-Out;2015-07-11
Resort Hotel;0;86;2015-07-04;2015;July;27;4;2;5;7;2;0.0;0;BB;CHE;D;D;Transient;Check-Out;2015-07-11
Resort Hotel;0;78;2015-07-04;2015;July;27;4;2;5;7;2;0.0;1;HB;PRT;E;F;Transient;Check-Out;2015-07-11
Resort Hotel;0;52;2015-07-04;2015;July;27;4;2;5;7;2;0.0;0;BB;GBR;A;A;Transient;Check-Out;2015-07-11
Resort Hotel;0;29;2015-07-04;2015;July;27;4;2;6;8;3;0.0;0;BB;PRT;E;E;Transient;Check-Out;2015-07-12
Resort Hotel;1;101;2015-07-04;2015;July;27;4;2;6;8;2;0.0;0;BB;PRT;E;E;Transient;Canceled;2015-05-12
Resort Hotel;0;109;2015-07-04;2015;July;27;4;2;6;8;2;0.0;0;BB;PRT;A;A;Transient;Check-Out;2015-07-12
Resort Hotel;0;92;2015-07-04;2015;July;27;4;4;6;10;2;0.0;0;BB;GBR;D;D;Contract;Check-Out;2015-07-14
Resort Hotel;0;92;2015-07-04;2015;July;27;4;4;6;10;2;0.0;0;BB;PRT;D;D;Contract;Check-Out;2015-07-14
Resort Hotel;0;79;2015-07-04;2015;July;27;4;4;6;10;2;1.0;0;HB;PRT;D;D;Transient;Check-Out;2015-07-14
Resort Hotel;0;2;2015-07-04;2015;July;27;4;0;1;1;2;2.0;0;BB;PRT;H;G;Transient;Check-Out;2015-07-05
Resort Hotel;0;30;2015-07-04;2015;July;27;4;0;1;1;2;0.0;0;BB;PRT;D;C;Contract;Check-Out;2015-07-05
Resort Hotel;1;51;2015-07-04;2015;July;27;4;0;1;1;1;0.0;0;HB;PRT;A;A;Transient;Canceled;2015-05-29
Resort Hotel;1;36;2015-07-04;2015;July;27;4;0;1;1;1;0.0;0;BB;PRT;E;G;Transient;No-Show;2015-07-04
Resort Hotel;1;73;2015-07-04;2015;July;27;4;0;1;1;2;0.0;0;BB;PRT;A;A;Transient;Canceled;2015-05-13
Resort Hotel;1;33;2015-07-04;2015;July;27;4;0;1;1;2;0.0;0;BB;PRT;D;D;Transient;Canceled;2015-06-16
Resort Hotel;0;32;2015-07-04;2015;July;27;4;0;1;1;4;0.0;0;FB;PRT;H;H;Transient;Check-Out;2015-07-05
Resort Hotel;0;8;2015-07-04;2015;July;27;4;0;1;1;2;0.0;0;BB;ESP;E;E;Transient;Check-Out;2015-07-05
Resort Hotel;0;100;2015-07-04;2015;July;27;4;1;1;2;2;0.0;0;BB;FRA;A;C;Transient-Party;Check-Out;2015-07-06
Resort Hotel;0;1;2015-07-04;2015;July;27;4;1;1;2;2;0.0;0;BB;PRT;A;A;Transient;Check-Out;2015-07-06
Resort Hotel;0;100;2015-07-04;2015;July;27;4;1;1;2;2;0.0;0;BB;FRA;A;A;Transient-Party;Check-Out;2015-07-06
Resort Hotel;0;100;2015-07-04;2015;July;27;4;1;1;2;2;0.0;0;BB;FRA;A;C;Transient-Party;Check-Out;2015-07-06
Resort Hotel;0;9;2015-07-05;2015;July;28;5;1;0;1;2;0.0;0;BB;ESP;A;C;Transient;Check-Out;2015-07-06
Resort Hotel;1;5;2015-07-05;2015;July;28;5;1;0;1;2;0.0;0;BB;PRT;D;D;Transient;Canceled;2015-07-01
Resort Hotel;0;0;2015-07-05;2015;July;28;5;1;0;1;2;0.0;0;BB;ESP;A;C;Transient;Check-Out;2015-07-06
Resort Hotel;0;9;2015-07-05;2015;July;28;5;1;0;1;1;0.0;0;BB;DEU;A;A;Transient;Check-Out;2015-07-06
Resort Hotel;0;2;2015-07-05;2015;July;28;5;1;0;1;1;0.0;0;BB;PRT;A;D;Transient;Check-Out;2015-07-06
Resort Hotel;0;2;2015-07-05;2015;July;28;5;1;0;1;2;0.0;0;BB;PRT;A;E;Transient;Check-Out;2015-07-06
Resort Hotel;0;9;2015-07-05;2015;July;28;5;1;0;1;1;0.0;0;BB;DEU;A;A;Transient;Check-Out;2015-07-06
Resort Hotel;1;5;2015-07-05;2015;July;28;5;1;0;1;2;0.0;0;BB;PRT;D;D;Transient;Canceled;2015-07-01
Resort Hotel;0;2;2015-07-05;2015;July;28;5;1;0;1;2;0.0;0;BB;PRT;G;G;Transient;Check-Out;2015-07-06
Resort Hotel;0;44;2015-07-05;2015;July;28;5;2;0;2;3;0.0;0;HB;PRT;G;G;Transient;Check-Out;2015-07-07
Resort Hotel;0;80;2015-07-05;2015;July;28;5;2;0;2;2;0.0;0;BB;FRA;D;E;Transient;Check-Out;2015-07-07
Resort Hotel;0;97;2015-07-05;2015;July;28;5;2;2;4;2;0.0;0;BB;ESP;D;D;Transient;Check-Out;2015-07-09
Resort Hotel;0;109;2015-07-05;2015;July;28;5;2;3;5;2;1.0;0;BB;CN;A;D;Transient;Check-Out;2015-07-10
Resort Hotel;0;30;2015-07-05;2015;July;28;5;2;3;5;2;0.0;0;BB;ESP;E;E;Transient;Check-Out;2015-07-10
Resort Hotel;0;64;2015-07-05;2015;July;28;5;2;3;5;2;0.0;0;BB;PRT;E;E;Transient;Check-Out;2015-07-10
Resort Hotel;0;39;2015-07-05;2015;July;28;5;2;4;6;2;0.0;0;BB;ESP;H;H;Transient;Check-Out;2015-07-11
Resort Hotel;0;90;2015-07-05;2015;July;28;5;2;4;6;2;0.0;0;BB;PRT;A;A;Transient;Check-Out;2015-07-11
Resort Hotel;1;34;2015-07-05;2015;July;28;5;2;4;6;2;2.0;0;BB;PRT;H;H;Transient;Canceled;2015-06-17
Resort Hotel;1;93;2015-07-05;2015;July;28;5;2;5;7;2;0.0;0;HB;PRT;D;D;Transient;Canceled;2015-05-01
Resort Hotel;0;97;2015-07-05;2015;July;28;5;2;5;7;2;2.0;0;HB;PRT;C;C;Transient;Check-Out;2015-07-12
Resort Hotel;0;29;2015-07-05;2015;July;28;5;2;5;7;2;0.0;0;BB;IRL;F;F;Transient;Check-Out;2015-07-12
Resort Hotel;1;101;2015-07-05;2015;July;28;5;2;5;7;2;0.0;0;HB;PRT;A;A;Transient;Canceled;2015-03-30
Resort Hotel;0;27;2015-07-05;2015;July;28;5;2;5;7;2;0.0;0;BB;ESP;E;E;Transient;Check-Out;2015-07-12
Resort Hotel;0;8;2015-07-05;2015;July;28;5;4;5;9;2;2.0;0;BB;CHE;H;H;Transient;Check-Out;2015-07-14
Resort Hotel;0;82;2015-07-05;2015;July;28;5;4;6;10;2;0.0;0;BB;PRT;D;D;Transient;Check-Out;2015-07-15
Resort Hotel;0;94;2015-07-05;2015;July;28;5;4;6;10;3;0.0;0;BB;PRT;D;C;Transient;Check-Out;2015-07-15
Resort Hotel;0;110;2015-07-05;2015;July;28;5;4;7;11;2;0.0;0;BB;GBR;D;D;Contract;Check-Out;2015-07-16
Resort Hotel;0;96;2015-07-05;2015;July;28;5;4;10;14;1;0.0;0;HB;GBR;A;A;Contract;Check-Out;2015-07-19
Resort Hotel;0;79;2015-07-05;2015;July;28;5;4;10;14;2;0.0;0;HB;GBR;D;D;Contract;Check-Out;2015-07-19
Resort Hotel;0;115;2015-07-06;2015;July;28;6;1;4;5;2;2.0;0;BB;PRT;G;G;Transient;Check-Out;2015-07-11
Resort Hotel;0;111;2015-07-06;2015;July;28;6;1;3;4;2;0.0;0;BB;PRT;A;C;Transient;Check-Out;2015-07-10
Resort Hotel;0;51;2015-07-06;2015;July;28;6;1;3;4;2;0.0;0;BB;USA;G;G;Transient;Check-Out;2015-07-10
Resort Hotel;0;94;2015-07-06;2015;July;28;6;1;3;4;3;0.0;0;BB;CN;D;D;Transient;Check-Out;2015-07-10
Resort Hotel;0;81;2015-07-06;2015;July;28;6;1;3;4;2;2.0;0;HB;CHE;G;G;Transient;Check-Out;2015-07-10
Resort Hotel;0;84;2015-07-06;2015;July;28;6;1;3;4;2;0.0;1;BB;PRT;D;E;Transient;Check-Out;2015-07-10
Resort Hotel;0;51;2015-07-06;2015;July;28;6;1;3;4;3;0.0;0;BB;USA;G;G;Transient;Check-Out;2015-07-10
Resort Hotel;0;111;2015-07-06;2015;July;28;6;0;0;0;2;0.0;0;BB;PRT;A;H;Transient;Check-Out;2015-07-06
Resort Hotel;0;0;2015-07-06;2015;July;28;6;0;0;0;1;0.0;0;BB;PRT;E;H;Transient;Check-Out;2015-07-06
Resort Hotel;0;2;2015-07-06;2015;July;28;6;1;0;1;2;1.0;0;BB;PRT;A;E;Transient;Check-Out;2015-07-07
Resort Hotel;0;7;2015-07-06;2015;July;28;6;1;1;2;2;0.0;0;BB;PRT;A;E;Transient;Check-Out;2015-07-08
Resort Hotel;0;98;2015-07-06;2015;July;28;6;1;1;2;2;0.0;0;BB;USA;D;F;Transient;Check-Out;2015-07-08
Resort Hotel;0;95;2015-07-06;2015;July;28;6;1;2;3;2;0.0;0;BB;GRC;D;D;Transient;Check-Out;2015-07-09
Resort Hotel;1;48;2015-07-06;2015;July;28;6;1;3;4;2;0.0;0;HB;PRT;E;E;Transient;Canceled;2015-06-03
Resort Hotel;0;66;2015-07-06;2015;July;28;6;1;3;4;2;0.0;0;HB;PRT;A;E;Transient;Check-Out;2015-07-10
Resort Hotel;0;104;2015-07-06;2015;July;28;6;1;3;4;2;0.0;0;BB;PRT;A;C;Transient;Check-Out;2015-07-10
Resort Hotel;0;28;2015-07-06;2015;July;28;6;1;4;5;2;0.0;0;BB;PRT;E;E;Transient;Check-Out;2015-07-11
Resort Hotel;0;34;2015-07-06;2015;July;28;6;1;4;5;2;0.0;0;HB;PRT;F;F;Transient;Check-Out;2015-07-11
Resort Hotel;0;98;2015-07-06;2015;July;28;6;1;5;6;2;0.0;0;HB;ESP;A;C;Transient;Check-Out;2015-07-12
Resort Hotel;0;104;2015-07-06;2015;July;28;6;1;5;6;2;0.0;0;BB;PRT;E;E;Transient;Check-Out;2015-07-12
Resort Hotel;0;68;2015-07-06;2015;July;28;6;2;5;7;2;2.0;0;HB;PRT;G;G;Transient;Check-Out;2015-07-13
Resort Hotel;1;86;2015-07-06;2015;July;28;6;2;5;7;1;0.0;0;HB;PRT;A;A;Transient;Canceled;2015-06-26
Resort Hotel;0;258;2015-07-06;2015;July;28;6;2;5;7;2;0.0;0;BB;GBR;A;A;Contract;Check-Out;2015-07-13
Resort Hotel;0;111;2015-07-06;2015;July;28;6;3;5;8;2;0.0;0;HB;PRT;A;C;Transient;Check-Out;2015-07-14
Resort Hotel;1;94;2015-07-06;2015;July;28;6;3;7;10;2;0.0;0;BB;PRT;D;D;Transient;Canceled;2015-05-14
Resort Hotel;0;112;2015-07-06;2015;July;28;6;3;7;10;2;0.0;0;BB;GBR;A;A;Transient;Check-Out;2015-07-16
Resort Hotel;0;100;2015-07-06;2015;July;28;6;3;7;10;2;0.0;0;BB;GBR;D;D;Transient;Check-Out;2015-07-16
Resort Hotel;0;33;2015-07-06;2015;July;28;6;3;7;10;2;0.0;0;HB;PRT;F;F;Transient;Check-Out;2015-07-16
Resort Hotel;0;97;2015-07-06;2015;July;28;6;3;7;10;2;0.0;0;HB;GBR;D;D;Contract;Check-Out;2015-07-16
Resort Hotel;0;80;2015-07-06;2015;July;28;6;3;8;11;1;0.0;0;BB;FRA;A;A;Transient;Check-Out;2015-07-17
Resort Hotel;0;90;2015-07-06;2015;July;28;6;4;10;14;2;0.0;0;BB;ITA;D;D;Contract;Check-Out;2015-07-20
Resort Hotel;0;111;2015-07-06;2015;July;28;6;4;10;14;2;0.0;0;BB;GBR;A;A;Contract;Check-Out;2015-07-20
Resort Hotel;0;65;2015-07-06;2015;July;28;6;2;5;7;2;0.0;0;BB;PRT;D;D;Transient;Check-Out;2015-07-13
Resort Hotel;1;67;2015-07-07;2015;July;28;7;0;2;2;2;0.0;0;BB;PRT;A;A;Transient;Canceled;2015-05-07
Resort Hotel;0;55;2015-07-07;2015;July;28;7;0;3;3;2;0.0;0;BB;ESP;A;A;Transient;Check-Out;2015-07-10
Resort Hotel;0;21;2015-07-07;2015;July;28;7;0;3;3;2;1.0;0;HB;PRT;F;F;Transient;Check-Out;2015-07-10
